Experiment:, list12,,,,,,,,
Stimuli for Condition 1:,,,,,,,,,
Stim Pair 1:Sample: , [ 0.333 0.333, 0.667 0.950, 0.050 0.950, 0.667 0.333 ],Novel: , [ 0.950 0.050, 0.050 0.050, 0.333 0.950, 0.050 0.333 ] 
Stim Pair 2:Sample: , [ 0.333 0.950, 0.667 0.950, 0.333 0.050, 0.333 0.333 ],Novel: , [ 0.050 0.050, 0.050 0.333, 0.950 0.950, 0.667 0.050 ] 
Stim Pair 3:Sample: , [ 0.667 0.333, 0.667 0.950, 0.333 0.667, 0.333 0.950 ],Novel: , [ 0.333 0.050, 0.950 0.333, 0.050 0.667, 0.333 0.333 ] 
Stim Pair 4:Sample: , [ 0.950 0.950, 0.667 0.333, 0.050 0.950, 0.667 0.950 ],Novel: , [ 0.050 0.333, 0.333 0.667, 0.950 0.667, 0.333 0.050 ] 
Stim Pair 5:Sample: , [ 0.667 0.333, 0.950 0.667, 0.050 0.950, 0.667 0.950 ],Novel: , [ 0.333 0.950, 0.333 0.333, 0.050 0.050, 0.667 0.050 ] 
Stim Pair 6:Sample: , [ 0.050 0.667, 0.050 0.050, 0.667 0.667, 0.050 0.950 ],Novel: , [ 0.667 0.950, 0.950 0.050, 0.950 0.667, 0.950 0.950 ] 
Stim Pair 7:Sample: , [ 0.667 0.050, 0.950 0.050, 0.050 0.667, 0.333 0.050 ],Novel: , [ 0.333 0.333, 0.050 0.950, 0.667 0.333, 0.950 0.333 ] 
Stim Pair 8:Sample: , [ 0.950 0.050, 0.333 0.950, 0.333 0.050, 0.950 0.667 ],Novel: , [ 0.667 0.950, 0.333 0.333, 0.050 0.050, 0.050 0.333 ] 
Stim Pair 9:Sample: , [ 0.333 0.667, 0.333 0.333, 0.667 0.667, 0.050 0.050 ],Novel: , [ 0.333 0.950, 0.667 0.050, 0.050 0.667, 0.050 0.950 ] 
Stim Pair 10:Sample: , [ 0.333 0.667, 0.050 0.333, 0.333 0.950, 0.333 0.050 ],Novel: , [ 0.950 0.050, 0.667 0.667, 0.667 0.950, 0.950 0.667 ] 
Stim Pair 11:Sample: , [ 0.667 0.333, 0.950 0.050, 0.333 0.950, 0.950 0.667 ],Novel: , [ 0.050 0.950, 0.050 0.667, 0.333 0.667, 0.050 0.333 ] 
Stim Pair 12:Sample: , [ 0.333 0.667, 0.333 0.333, 0.950 0.950, 0.950 0.667 ],Novel: , [ 0.667 0.050, 0.667 0.333, 0.333 0.050, 0.950 0.333 ] 

Stimuli for Condition 2:,,,,,,,,,
Stim Pair 1:Sample: , [ 0.333 0.050, 0.950 0.667, 0.333 0.950, 0.333 0.667 ],Novel: , [ 0.950 0.050, 0.667 0.667, 0.050 0.333, 0.950 0.333 ] 
Stim Pair 2:Sample: , [ 0.050 0.950, 0.667 0.050, 0.050 0.667, 0.050 0.050 ],Novel: , [ 0.950 0.950, 0.050 0.333, 0.950 0.667, 0.667 0.950 ] 
Stim Pair 3:Sample: , [ 0.950 0.667, 0.667 0.333, 0.667 0.050, 0.050 0.333 ],Novel: , [ 0.950 0.950, 0.333 0.950, 0.050 0.050, 0.667 0.667 ] 
Stim Pair 4:Sample: , [ 0.050 0.333, 0.950 0.050, 0.333 0.667, 0.950 0.950 ],Novel: , [ 0.050 0.050, 0.050 0.667, 0.667 0.667, 0.050 0.950 ] 
Stim Pair 5:Sample: , [ 0.333 0.950, 0.333 0.667, 0.050 0.950, 0.050 0.050 ],Novel: , [ 0.667 0.950, 0.950 0.950, 0.667 0.050, 0.950 0.050 ] 
Stim Pair 6:Sample: , [ 0.333 0.333, 0.050 0.333, 0.667 0.950, 0.333 0.667 ],Novel: , [ 0.950 0.950, 0.050 0.050, 0.667 0.333, 0.050 0.667 ] 
Stim Pair 7:Sample: , [ 0.050 0.950, 0.050 0.050, 0.667 0.667, 0.333 0.667 ],Novel: , [ 0.667 0.050, 0.050 0.667, 0.050 0.333, 0.950 0.950 ] 
Stim Pair 8:Sample: , [ 0.050 0.050, 0.667 0.667, 0.050 0.950, 0.950 0.667 ],Novel: , [ 0.950 0.333, 0.333 0.667, 0.667 0.050, 0.333 0.050 ] 
Stim Pair 9:Sample: , [ 0.950 0.667, 0.050 0.333, 0.667 0.333, 0.050 0.667 ],Novel: , [ 0.950 0.050, 0.333 0.950, 0.950 0.333, 0.667 0.950 ] 
Stim Pair 10:Sample: , [ 0.050 0.950, 0.333 0.333, 0.333 0.950, 0.050 0.667 ],Novel: , [ 0.667 0.050, 0.050 0.050, 0.667 0.950, 0.667 0.667 ] 
Stim Pair 11:Sample: , [ 0.950 0.333, 0.333 0.050, 0.333 0.333, 0.050 0.950 ],Novel: , [ 0.667 0.667, 0.950 0.950, 0.950 0.050, 0.333 0.950 ] 
Stim Pair 12:Sample: , [ 0.050 0.050, 0.667 0.667, 0.333 0.333, 0.333 0.050 ],Novel: , [ 0.950 0.667, 0.950 0.333, 0.667 0.950, 0.667 0.050 ] 

Stimuli for Condition 3:,,,,,,,,,
Stim Pair 1:Sample: , [ 0.950 0.050, 0.050 0.333, 0.050 0.667, 0.333 0.050 ],Novel: , [ 0.667 0.050, 0.667 0.667, 0.333 0.333, 0.950 0.667 ] 
Stim Pair 2:Sample: , [ 0.050 0.950, 0.950 0.333, 0.667 0.333, 0.050 0.050 ],Novel: , [ 0.050 0.667, 0.950 0.667, 0.667 0.950, 0.050 0.333 ] 
Stim Pair 3:Sample: , [ 0.667 0.050, 0.667 0.950, 0.333 0.667, 0.950 0.050 ],Novel: , [ 0.050 0.333, 0.333 0.333, 0.333 0.950, 0.667 0.333 ] 
Stim Pair 4:Sample: , [ 0.050 0.950, 0.050 0.333, 0.333 0.667, 0.050 0.050 ],Novel: , [ 0.950 0.950, 0.667 0.950, 0.050 0.667, 0.667 0.333 ] 
Stim Pair 5:Sample: , [ 0.333 0.050, 0.950 0.667, 0.333 0.333, 0.050 0.667 ],Novel: , [ 0.950 0.950, 0.050 0.950, 0.950 0.050, 0.667 0.050 ] 
Stim Pair 6:Sample: , [ 0.950 0.950, 0.667 0.333, 0.667 0.667, 0.333 0.333 ],Novel: , [ 0.050 0.333, 0.333 0.950, 0.333 0.667, 0.050 0.667 ] 
Stim Pair 7:Sample: , [ 0.050 0.667, 0.950 0.950, 0.333 0.950, 0.050 0.333 ],Novel: , [ 0.050 0.950, 0.667 0.667, 0.950 0.050, 0.667 0.950 ] 
Stim Pair 8:Sample: , [ 0.050 0.050, 0.333 0.667, 0.950 0.950, 0.667 0.950 ],Novel: , [ 0.050 0.667, 0.050 0.950, 0.050 0.333, 0.333 0.050 ] 
Stim Pair 9:Sample: , [ 0.050 0.950, 0.050 0.333, 0.333 0.950, 0.333 0.667 ],Novel: , [ 0.950 0.050, 0.333 0.333, 0.950 0.333, 0.667 0.950 ] 
Stim Pair 10:Sample: , [ 0.333 0.667, 0.050 0.050, 0.333 0.333, 0.050 0.950 ],Novel: , [ 0.950 0.333, 0.050 0.667, 0.950 0.050, 0.950 0.950 ] 
Stim Pair 11:Sample: , [ 0.333 0.050, 0.950 0.333, 0.950 0.667, 0.333 0.333 ],Novel: , [ 0.950 0.050, 0.333 0.950, 0.667 0.950, 0.667 0.050 ] 
Stim Pair 12:Sample: , [ 0.950 0.667, 0.667 0.050, 0.333 0.050, 0.050 0.950 ],Novel: , [ 0.950 0.333, 0.050 0.050, 0.667 0.950, 0.050 0.333 ] 

Stimuli for Condition 4:,,,,,,,,,
Stim Pair 1:Sample: , [ 0.667 0.950, 0.667 0.050, 0.667 0.667, 0.333 0.667 ],Novel: , [ 0.667 0.333, 0.050 0.333, 0.333 0.950, 0.950 0.050 ] 
Stim Pair 2:Sample: , [ 0.667 0.050, 0.333 0.950, 0.667 0.333, 0.950 0.050 ],Novel: , [ 0.667 0.667, 0.950 0.950, 0.050 0.667, 0.333 0.333 ] 
Stim Pair 3:Sample: , [ 0.950 0.950, 0.950 0.667, 0.050 0.667, 0.050 0.050 ],Novel: , [ 0.333 0.950, 0.333 0.050, 0.050 0.950, 0.950 0.050 ] 
Stim Pair 4:Sample: , [ 0.050 0.950, 0.050 0.667, 0.050 0.050, 0.950 0.950 ],Novel: , [ 0.333 0.667, 0.333 0.333, 0.950 0.667, 0.333 0.050 ] 
Stim Pair 5:Sample: , [ 0.950 0.333, 0.050 0.333, 0.333 0.050, 0.667 0.050 ],Novel: , [ 0.050 0.667, 0.050 0.050, 0.667 0.950, 0.333 0.950 ] 
Stim Pair 6:Sample: , [ 0.950 0.950, 0.333 0.950, 0.950 0.333, 0.050 0.333 ],Novel: , [ 0.950 0.667, 0.050 0.950, 0.667 0.050, 0.333 0.050 ] 
Stim Pair 7:Sample: , [ 0.050 0.050, 0.050 0.950, 0.667 0.333, 0.667 0.950 ],Novel: , [ 0.333 0.333, 0.333 0.050, 0.333 0.667, 0.050 0.333 ] 
Stim Pair 8:Sample: , [ 0.950 0.950, 0.667 0.050, 0.333 0.050, 0.050 0.667 ],Novel: , [ 0.050 0.950, 0.667 0.667, 0.950 0.050, 0.050 0.050 ] 
Stim Pair 9:Sample: , [ 0.667 0.667, 0.950 0.050, 0.950 0.667, 0.050 0.333 ],Novel: , [ 0.050 0.950, 0.950 0.950, 0.667 0.333, 0.667 0.950 ] 
Stim Pair 10:Sample: , [ 0.667 0.950, 0.667 0.333, 0.667 0.667, 0.050 0.667 ],Novel: , [ 0.333 0.333, 0.950 0.333, 0.333 0.050, 0.050 0.333 ] 
Stim Pair 11:Sample: , [ 0.050 0.950, 0.950 0.333, 0.950 0.950, 0.950 0.667 ],Novel: , [ 0.333 0.667, 0.667 0.950, 0.667 0.050, 0.333 0.050 ] 
Stim Pair 12:Sample: , [ 0.950 0.950, 0.333 0.667, 0.950 0.333, 0.050 0.050 ],Novel: , [ 0.667 0.950, 0.333 0.050, 0.950 0.050, 0.333 0.333 ] 

NUM_ROWS = 200, A: 0.200  B: 0.400,,,,,,,,
PEAK_SIZE: 1, (9 winners if 1, 13 winners if 2),,,,,,,
Total training conditions: 1 ,Steps: ,100,,,,,,,
Total encoding conditions: 1 ,Steps: ,20,,,,,,,
No interference.,,,,,,,,,
Num input dims conditions: 3,,,,,,,,,


 ,Stim Cond:  1,,,,,,,,
 ,Rat ,Dscore Intact,,Dscore Lesion,,Dscore PRh of Control,,Dscore Caud of Control ,
 ,1,0.417843,,0.26819,,0.585085,,0.2506,
 ,2,0.426479,,0.259518,,0.595508,,0.257451,
 ,3,0.404343,,0.245065,,0.557726,,0.250959,
 ,4,0.405034,,0.259359,,0.556717,,0.25335,
 ,5,0.398403,,0.24934,,0.537732,,0.259073,
 ,6,0.424946,,0.240002,,0.59113,,0.258761,
 ,Average,0.412841,,0.253579,,0.57065,,0.255032,
 ,SEM,0.005288,,0.00472,,0.010374,,0.001734,
,,,,,,,,,
,,,,,,,,,
 ,Stim Cond:  2,,,,,,,,
 ,Rat ,Dscore Intact,,Dscore Lesion,,Dscore PRh of Control,,Dscore Caud of Control ,
 ,1,0.437391,,0.32314,,0.534618,,0.340164,
 ,2,0.423412,,0.326208,,0.521949,,0.324876,
 ,3,0.426617,,0.31901,,0.523226,,0.330008,
 ,4,0.43419,,0.326044,,0.548394,,0.319986,
 ,5,0.43237,,0.329506,,0.543152,,0.321588,
 ,6,0.436168,,0.318677,,0.542334,,0.330002,
 ,Average,0.431691,,0.323764,,0.535612,,0.32777,
 ,SEM,0.002478,,0.001929,,0.004925,,0.003291,
,,,,,,,,,
,,,,,,,,,
 ,Stim Cond:  3,,,,,,,,
 ,Rat ,Dscore Intact,,Dscore Lesion,,Dscore PRh of Control,,Dscore Caud of Control ,
 ,1,0.423014,,0.269087,,0.581818,,0.264211,
 ,2,0.419621,,0.269758,,0.577159,,0.262083,
 ,3,0.422805,,0.260173,,0.589927,,0.255684,
 ,4,0.423777,,0.28504,,0.585227,,0.262326,
 ,5,0.425772,,0.26375,,0.584206,,0.267337,
 ,6,0.433436,,0.278591,,0.599664,,0.267207,
 ,Average,0.424737,,0.271067,,0.586334,,0.263141,
 ,SEM,0.002103,,0.004146,,0.00347,,0.001925,
,,,,,,,,,
,,,,,,,,,
 ,Stim Cond:  4,,,,,,,,
 ,Rat ,Dscore Intact,,Dscore Lesion,,Dscore PRh of Control,,Dscore Caud of Control ,
 ,1,0.453575,,0.319019,,0.581939,,0.325211,
 ,2,0.455335,,0.325193,,0.581005,,0.329664,
 ,3,0.443331,,0.330833,,0.562041,,0.324622,
 ,4,0.44811,,0.328908,,0.570936,,0.325285,
 ,5,0.441784,,0.319556,,0.561315,,0.322252,
 ,6,0.451275,,0.335525,,0.555551,,0.346998,
 ,Average,0.448901,,0.326506,,0.568798,,0.329005,
 ,SEM,0.002459,,0.002911,,0.004913,,0.004085,
